,price,longitude,latitude,city
60228,174.00000000000006,-122.42669324545643,37.75634779093844,SF
39370,97.99999999999999,-122.41607577870909,37.765145973080585,SF
45713,266.99999999999994,-122.42622053331536,37.75170907992968,SF
5932,127.99999999999997,-122.46392924694695,37.78506057948535,SF
39238,223.9999999999998,-122.44669996810292,37.713152262746576,SF
66661,93.0,-122.41681683114187,37.75511426947223,SF
46552,294.0000000000001,-122.43950261179005,37.76342646668533,SF
68422,78.99999999999997,-122.45277613998272,37.76525394713264,SF
5441,118.00000000000013,-122.42138387255044,37.80512603403567,SF
45912,274.00000000000057,-122.4322354414032,37.791799555405305,SF
15127,498.99999999999983,-122.39938911346272,37.75539895776532,SF
18808,126.99999999999997,-122.42671095941324,37.76479188274901,SF
70169,183.99999999999994,-122.4370719896386,37.768963935111024,SF
38741,194.0,-122.40511282792562,37.753157465248776,SF
15376,118.99999999999997,-122.40716296735904,37.76118367613976,SF
37025,132.99999999999997,-122.4401922749676,37.7861109425771,SF
66185,369.99999999999994,-122.48596958366957,37.775724699285284,SF
47854,198.99999999999994,-122.4133696430414,37.796487416796644,SF
14959,198.99999999999994,-122.43316346003151,37.7731367783367,SF
59598,399.0000000000002,-122.39717933438084,37.782339534215424,SF
15683,248.9999999999999,-122.42408863320492,37.77547828765225,SF
58645,323.99999999999994,-122.42639053748483,37.75984216213696,SF
27265,88.99999999999967,-122.40056290554085,37.755555110211255,SF
18854,134.00000000000003,-122.43579565760248,37.7564730654284,SF
44082,84.00000000000001,-122.38900949143296,37.783089876253634,SF
2079,124.00000000000004,-122.43091557466215,37.77162775280938,SF
35472,498.99999999999983,-122.40849045600076,37.76197020788509,SF
46752,148.99999999999997,-122.44396142729765,37.77872895677953,SF
61119,84.00000000000001,-122.48403278950038,37.76185650380392,SF
17774,84.00000000000001,-122.41851119471005,37.749384427988545,SF
25065,88.99999999999967,-122.43991445833944,37.780055471993656,SF
70330,248.9999999999999,-122.40590509924809,37.79008344668013,SF
5129,274.00000000000057,-122.45469990289105,37.778397035587524,SF
64144,134.00000000000003,-122.42043018722515,37.76718070229809,SF
52887,159.00000000000023,-122.41923227336812,37.739536641829076,SF
5558,223.9999999999998,-122.4258359468682,37.73773411559475,SF
22518,159.00000000000023,-122.41021958251758,37.78829516228826,SF
8118,178.99999999999983,-122.47691623053068,37.785914888074096,SF
64232,138.99999999999994,-122.41616493137451,37.77651779696312,SF
56000,88.99999999999967,-122.42865510773285,37.80030543402968,SF
5358,347.00000000000006,-122.4008684074069,37.75958369388749,SF
68409,197.0,-122.41348975770092,37.78806774828536,SF
17387,99.00000000000004,-122.412528243659,37.79282285981815,SF
32021,189.0,-122.38613925273106,37.77840349815426,SF
54893,183.99999999999994,-122.44687626724476,37.75967317224792,SF
8726,399.0000000000002,-122.4188655477848,37.763929045100134,SF
21689,183.99999999999994,-122.4458448593536,37.77920331249687,SF
60924,198.99999999999994,-122.44574563431401,37.76364368435975,SF
29810,78.99999999999997,-122.40833040110529,37.758260176668095,SF
29328,338.99999999999983,-122.400754302798,37.76061081232386,SF
